Id	iOSProductID	AndroidProductID
INT	STRING	STRING
#MAX_ID=400;MAX_RECORD=400;TableType=Index;ProjectActive0=_HTTPAGENT_;		
#ID	商品ID（苹果）	商品ID（安卓）
162	com.wanmei.wmsjzszz.singlepurchase6act1	and.wmsjzszz.singlepurchase6act1
163	com.wanmei.wmsjzszz.singlepurchas30act1	and.wmsjzszz.singlepurchas30act1
164	com.wanmei.wmsjzszz.singlepurchase68act1	and.wmsjzszz.singlepurchase68act1
165	com.wanmei.wmsjzszz.singlepurchase98act1	and.wmsjzszz.singlepurchase98act1
166	com.wanmei.wmsjzszz.singlepurchase128act1	and.wmsjzszz.singlepurchase128act1
167	com.wanmei.wmsjzszz.singlepurchase198act1	and.wmsjzszz.singlepurchase198act1
168	com.wanmei.wmsjzszz.singlepurchase328act1	and.wmsjzszz.singlepurchase328act1
169	com.wanmei.wmsjzszz.singlepurchase648act1	and.wmsjzszz.singlepurchase648act1
170	com.wanmei.wmsjzszz.surprisepurchase6	and.wmsjzszz.surprisepurchase6
171	com.wanmei.wmsjzszz.surprisepurchase6	and.wmsjzszz.surprisepurchase6
172	com.wanmei.wmsjzszz.surprisepurchase6	and.wmsjzszz.surprisepurchase6
173	com.wanmei.wmsjzszz.surprisepurchase12	and.wmsjzszz.surprisepurchase12
174	com.wanmei.wmsjzszz.surprisepurchase12	and.wmsjzszz.surprisepurchase12
175	com.wanmei.wmsjzszz.surprisepurchase12	and.wmsjzszz.surprisepurchase12
176	com.wanmei.wmsjzszz.surprisepurchase18	and.wmsjzszz.surprisepurchase18
177	com.wanmei.wmsjzszz.surprisepurchase18	and.wmsjzszz.surprisepurchase18
178	com.wanmei.wmsjzszz.surprisepurchase50	and.wmsjzszz.surprisepurchase50
179	com.wanmei.wmsjzszz.surprisepurchase50	and.wmsjzszz.surprisepurchase50
180	com.wanmei.wmsjzszz.surprisepurchase50	and.wmsjzszz.surprisepurchase50
181	com.wanmei.wmsjzszz.surprisepurchase50	and.wmsjzszz.surprisepurchase50
182	com.wanmei.wmsjzszz.surprisepurchase50	and.wmsjzszz.surprisepurchase50
183	com.wanmei.wmsjzszz.surprisepurchase50	and.wmsjzszz.surprisepurchase50
184	com.wanmei.wmsjzszz.surprisepurchase50	and.wmsjzszz.surprisepurchase50
185	com.wanmei.wmsjzszz.surprisepurchase30	and.wmsjzszz.surprisepurchase30
186	com.wanmei.wmsjzszz.surprisepurchase30	and.wmsjzszz.surprisepurchase30
187	com.wanmei.wmsjzszz.surprisepurchase12	and.wmsjzszz.surprisepurchase12
188	com.wanmei.wmsjzszz.surprisepurchase18	and.wmsjzszz.surprisepurchase18
189	com.wanmei.wmsjzszz.surprisepurchase6	and.wmsjzszz.surprisepurchase6
190	com.wanmei.wmsjzszz.surprisepurchase12	and.wmsjzszz.surprisepurchase12
191	com.wanmei.wmsjzszz.surprisepurchase30	and.wmsjzszz.surprisepurchase30
192	com.wanmei.wmsjzszz.surprisepurchase6	and.wmsjzszz.surprisepurchase6
193	com.wanmei.wmsjzszz.surprisepurchase18	and.wmsjzszz.surprisepurchase18
194	com.wanmei.wmsjzszz.surprisepurchase6	and.wmsjzszz.surprisepurchase6
195	com.wanmei.wmsjzszz.surprisepurchase18	and.wmsjzszz.surprisepurchase18
196	com.wanmei.wmsjzszz.actpurchase12	and.wmsjzszz.actpurchase12
197	com.wanmei.wmsjzszz.actpurchase25	and.wmsjzszz.actpurchase25
198	com.wanmei.wmsjzszz.actpurchase40	and.wmsjzszz.actpurchase40
199	com.wanmei.wmsjzszz.actpurchase45	and.wmsjzszz.actpurchase45
200	com.wanmei.wmsjzszz.actpurchase60	and.wmsjzszz.actpurchase60
201	com.wanmei.wmsjzszz.actpurchase12	and.wmsjzszz.actpurchase12
202	com.wanmei.wmsjzszz.actpurchase12	and.wmsjzszz.actpurchase12
203	com.wanmei.wmsjzszz.actpurchase12	and.wmsjzszz.actpurchase12
204	com.wanmei.wmsjzszz.actpurchase12	and.wmsjzszz.actpurchase12
205	com.wanmei.wmsjzszz.act1purchase30	and.wmsjzszz.act1purchase30
206	com.wanmei.wmsjzszz.act1purchase50	and.wmsjzszz.act1purchase50
207	com.wanmei.wmsjzszz.act1purchase98	and.wmsjzszz.act1purchase98
208	com.wanmei.wmsjzszz.act1purchase328	and.wmsjzszz.act1purchase328
209	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
210	com.wanmei.wmsjzszz.act1purchase18	and.wmsjzszz.act1purchase18
211	com.wanmei.wmsjzszz.act1purchase18	and.wmsjzszz.act1purchase18
212	com.wanmei.wmsjzszz.act1purchase18	and.wmsjzszz.act1purchase18
213	com.wanmei.wmsjzszz.act1purchase6	and.wmsjzszz.act1purchase6
214	com.wanmei.wmsjzszz.act1purchase30	and.wmsjzszz.act1purchase30
215	com.wanmei.wmsjzszz.act1purchase50	and.wmsjzszz.act1purchase50
216	com.wanmei.wmsjzszz.act1purchase328	and.wmsjzszz.act1purchase328
217	com.wanmei.wmsjzszz.act1purchase328	and.wmsjzszz.act1purchase328
218	com.wanmei.wmsjzszz.singlepurchas50act2	and.wmsjzszz.singlepurchas50act2
219	com.wanmei.wmsjzszz.surprisepurchase6	and.wmsjzszz.surprisepurchase6
220	com.wanmei.wmsjzszz.surprisepurchase12	and.wmsjzszz.surprisepurchase12
221	com.wanmei.wmsjzszz.surprisepurchase68	and.wmsjzszz.surprisepurchase68
222	com.wanmei.wmsjzszz.surprisepurchase198	and.wmsjzszz.surprisepurchase198
223	com.wanmei.wmsjzszz.surprisepurchase30	and.wmsjzszz.surprisepurchase30
224	com.wanmei.wmsjzszz.surprisepurchase50	and.wmsjzszz.surprisepurchase50
225	com.wanmei.wmsjzszz.surprisepurchase68	and.wmsjzszz.surprisepurchase68
226	com.wanmei.wmsjzszz.act1purchase6	and.wmsjzszz.act1purchase6
227	com.wanmei.wmsjzszz.actpurchase12	and.wmsjzszz.actpurchase12
