2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1170
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1200
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1230
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1260
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1290
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1320
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1350
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1380
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1410
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1440
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1470
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1500
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1530
2025-06-26 19:22:17 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1560
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1590
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1620
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1650
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1680
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1710
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1740
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1770
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1800
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1830
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1860
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1890
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1920
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1950
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:1980
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2010
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2040
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2070
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2100
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2130
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2160
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2190
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2220
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2250
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2280
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2310
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2340
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2370
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2400
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2430
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2460
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2490
2025-06-26 19:22:18 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2520
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2550
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2580
